Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Fixture ID,Home_Points,Home_Goals_Scored,Home_Goals_Conceded,Home_Wins,Home_Draws,Home_Losses,Home_Form_Score,Away_Points,Away_Goals_Scored,Away_Goals_Conceded,Away_Wins,Away_Draws,Away_Losses,Away_Form_Score
E0,2024-08-16,20:00,Man United,Fulham,1,0,H,0,0,D,R Jones,14,10,5,2,12,10,7,8,2,3,0,0,6132901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E0,2024-08-17,12:30,Ipswich,Liverpool,0,2,A,0,0,D,T Robinson,7,18,2,5,9,18,2,10,3,1,0,0,9994332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E0,2024-08-17,15:00,Arsenal,Wolves,2,0,H,1,0,H,J Gillett,18,9,6,3,17,14,8,2,2,2,0,0,2718670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E0,2024-08-17,15:00,Everton,Brighton,0,3,A,0,1,A,S Hooper,9,10,1,5,8,8,1,5,1,1,1,0,4133250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E0,2024-08-17,15:00,Newcastle,Southampton,1,0,H,1,0,H,C Pawson,3,19,1,4,15,16,3,12,2,4,1,0,4305983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E0,2024-08-17,15:00,Nott'm Forest,Bournemouth,1,1,D,1,0,H,M Oliver,14,13,8,4,17,8,2,6,1,3,0,0,3357337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E0,2024-08-17,17:30,West Ham,Aston Villa,1,2,A,1,1,D,T Harrington,14,15,3,3,18,11,5,3,1,2,0,0,1054488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E0,2024-08-18,14:00,Brentford,Crystal Palace,2,1,H,1,0,H,S Barrott,9,14,5,6,6,15,4,7,1,5,0,0,8837331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E0,2024-08-18,16:30,Chelsea,Man City,0,2,A,0,1,A,A Taylor,10,11,3,5,12,9,4,3,1,1,0,0,2416134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E0,2024-08-19,20:00,Leicester,Tottenham,1,1,D,0,1,A,C Kavanagh,7,15,3,7,11,12,2,13,1,1,0,0,6220515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E0,2024-08-24,15:00,Tottenham,Everton,4,0,H,2,0,H,A Taylor,13,10,7,1,11,15,12,5,0,0,0,0,5863044,5.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,15.0,0.0,0.0,5.0,-7.5
E0,2024-08-24,15:00,Southampton,Nott'm Forest,0,1,A,0,0,D,S Barrott,5,23,1,8,14,14,4,10,3,3,0,0,9930195,0.0,0.0,5.0,0.0,0.0,5.0,-2.5,5.0,5.0,5.0,0.0,5.0,0.0,5.0
E0,2024-08-24,15:00,Man City,Ipswich,4,1,H,3,1,H,M Salisbury,14,1,5,1,4,15,10,1,2,3,0,0,6584042,15.0,10.0,0.0,5.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,5.0,-5.0
E0,2024-08-24,17:30,Aston Villa,Arsenal,0,2,A,0,0,D,M Oliver,11,9,3,4,8,15,4,1,1,3,0,0,5657200,15.0,10.0,5.0,5.0,0.0,0.0,17.5,15.0,10.0,0.0,5.0,0.0,0.0,20.0
E0,2024-08-24,15:00,Crystal Palace,West Ham,0,2,A,0,0,D,R Jones,14,18,2,3,9,17,3,3,1,1,0,0,4815448,0.0,5.0,10.0,0.0,0.0,5.0,-2.5,0.0,5.0,10.0,0.0,0.0,5.0,-2.5
E0,2024-08-24,12:30,Brighton,Man United,2,1,H,1,0,H,C Pawson,14,11,5,4,9,13,4,4,1,2,0,0,3296032,15.0,15.0,0.0,5.0,0.0,0.0,22.5,15.0,5.0,0.0,5.0,0.0,0.0,17.5
E0,2024-08-24,15:00,Fulham,Leicester,2,1,H,1,1,D,D Bond,18,10,6,4,14,13,7,5,2,2,0,0,4185224,0.0,0.0,5.0,0.0,0.0,5.0,-2.5,5.0,5.0,5.0,0.0,5.0,0.0,5.0
E0,2024-08-25,14:00,Bournemouth,Newcastle,1,1,D,1,0,H,D Coote,16,14,4,5,19,8,8,9,2,2,0,0,3099470,5.0,5.0,5.0,0.0,5.0,0.0,5.0,15.0,5.0,0.0,5.0,0.0,0.0,17.5
E0,2024-08-25,14:00,Wolves,Chelsea,2,6,A,2,2,D,D England,12,14,4,8,13,13,5,5,2,3,0,0,3131790,0.0,0.0,10.0,0.0,0.0,5.0,-5.0,0.0,0.0,10.0,0.0,0.0,5.0,-5.0
E0,2024-08-25,16:30,Liverpool,Brentford,2,0,H,1,0,H,S Attwell,19,8,8,2,10,7,9,4,2,3,0,0,5934676,15.0,10.0,0.0,5.0,0.0,0.0,20.0,15.0,10.0,5.0,5.0,0.0,0.0,17.5
E0,2024-08-31,17:30,West Ham,Man City,1,3,A,1,2,A,M Oliver,10,23,2,8,10,3,3,11,3,2,0,0,4194288,7.5,7.5,5.0,2.5,0.0,2.5,8.75,15.0,15.0,2.5,5.0,0.0,0.0,21.25
E0,2024-08-31,15:00,Nott'm Forest,Wolves,1,1,D,1,1,D,S Hooper,16,11,5,3,15,18,7,3,3,4,0,0,7477059,10.0,5.0,2.5,2.5,2.5,0.0,11.25,0.0,5.0,20.0,0.0,0.0,5.0,-7.5
E0,2024-08-31,15:00,Leicester,Aston Villa,1,2,A,0,1,A,D Coote,9,10,3,5,13,21,1,4,4,5,0,0,4747530,2.5,5.0,7.5,0.0,2.5,2.5,1.25,7.5,5.0,7.5,2.5,0.0,2.5,6.25
E0,2024-08-31,15:00,Ipswich,Fulham,1,1,D,1,1,D,L Smith,11,9,4,4,15,15,8,6,2,3,0,0,3302442,0.0,2.5,15.0,0.0,0.0,5.0,-6.25,7.5,5.0,5.0,2.5,0.0,2.5,7.5
E0,2024-08-31,15:00,Brentford,Southampton,3,1,H,1,0,H,J Smith,20,18,7,6,10,7,2,8,2,1,0,0,7154801,7.5,5.0,7.5,2.5,0.0,2.5,6.25,0.0,0.0,5.0,0.0,0.0,5.0,-2.5
E0,2024-08-31,12:30,Arsenal,Brighton,1,1,D,1,0,H,C Kavanagh,11,22,7,4,12,7,3,7,3,2,1,0,9245682,15.0,10.0,0.0,5.0,0.0,0.0,20.0,15.0,12.5,2.5,5.0,0.0,0.0,20.0
E0,2024-08-31,15:00,Everton,Bournemouth,2,3,A,0,0,D,S Attwell,18,17,8,7,6,1,8,4,2,1,0,0,6361182,0.0,0.0,17.5,0.0,0.0,5.0,-8.75,5.0,5.0,5.0,0.0,5.0,0.0,5.0
E0,2024-09-01,13:30,Chelsea,Crystal Palace,1,1,D,1,0,H,J Gillett,13,9,7,3,9,13,4,5,4,2,0,0,4509828,7.5,15.0,10.0,2.5,0.0,2.5,10.0,0.0,2.5,10.0,0.0,0.0,5.0,-3.75
E0,2024-09-01,13:30,Newcastle,Tottenham,2,1,H,1,0,H,R Jones,9,20,3,6,16,13,7,12,4,4,0,0,7764571,10.0,5.0,2.5,2.5,2.5,0.0,11.25,10.0,12.5,2.5,2.5,2.5,0.0,15.0
E0,2024-09-01,16:00,Man United,Liverpool,0,3,A,0,2,A,A Taylor,8,11,3,3,7,7,5,2,4,1,0,0,6420669,7.5,5.0,5.0,2.5,0.0,2.5,7.5,15.0,10.0,0.0,5.0,0.0,0.0,20.0
E0,2024-09-14,15:00,Man City,Brentford,2,1,H,2,1,H,D Bond,18,8,7,5,9,3,12,3,3,1,0,0,9733099,15.0,15.0,3.3333333333333335,5.0,0.0,0.0,20.833333333333336,10.0,8.333333333333334,6.666666666666667,3.3333333333333335,0.0,1.6666666666666667,10.833333333333334
E0,2024-09-14,20:00,Bournemouth,Chelsea,0,1,A,0,0,D,A Taylor,19,10,7,3,16,9,6,3,6,8,0,0,9163138,8.333333333333334,8.333333333333334,6.666666666666667,1.6666666666666667,3.3333333333333335,0.0,9.166666666666668,6.666666666666667,11.666666666666668,8.333333333333334,1.6666666666666667,1.6666666666666667,1.6666666666666667,8.333333333333334
E0,2024-09-14,15:00,Liverpool,Nott'm Forest,0,1,A,0,0,D,M Oliver,14,5,5,3,15,6,7,2,4,4,0,0,8191796,15.0,11.666666666666668,0.0,5.0,0.0,0.0,20.833333333333336,8.333333333333334,5.0,3.3333333333333335,1.6666666666666667,3.3333333333333335,0.0,9.166666666666668
E0,2024-09-14,17:30,Aston Villa,Everton,3,2,H,1,2,A,C Pawson,17,6,8,2,10,12,6,2,1,4,0,0,7568626,10.0,6.666666666666667,6.666666666666667,3.3333333333333335,0.0,1.6666666666666667,10.0,0.0,3.3333333333333335,16.666666666666668,0.0,0.0,5.0,-6.666666666666667
E0,2024-09-14,15:00,Crystal Palace,Leicester,2,2,D,0,1,A,T Harrington,20,9,4,4,11,15,5,2,0,3,0,0,9789859,1.6666666666666667,3.3333333333333335,8.333333333333334,0.0,1.6666666666666667,3.3333333333333335,-0.8333333333333334,1.6666666666666667,5.0,8.333333333333334,0.0,1.6666666666666667,3.3333333333333335,0.0
E0,2024-09-14,12:30,Southampton,Man United,0,3,A,0,2,A,S Attwell,6,20,4,10,11,14,0,7,1,4,1,0,8829118,0.0,1.6666666666666667,8.333333333333334,0.0,0.0,5.0,-3.3333333333333335,5.0,3.3333333333333335,8.333333333333334,1.6666666666666667,0.0,3.3333333333333335,2.5
E0,2024-09-14,15:00,Fulham,West Ham,1,1,D,1,0,H,T Robinson,21,11,5,3,15,18,3,2,2,3,0,0,7196516,6.666666666666667,5.0,5.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,6.666666666666667,5.0,6.666666666666667,8.333333333333334,1.6666666666666667,0.0,3.3333333333333335,4.166666666666667
E0,2024-09-14,15:00,Brighton,Ipswich,0,0,D,0,0,D,S Barrott,21,6,6,1,14,16,9,2,4,3,0,0,2042974,11.666666666666668,10.0,3.3333333333333335,3.3333333333333335,1.6666666666666667,0.0,15.0,1.6666666666666667,3.3333333333333335,11.666666666666668,0.0,1.6666666666666667,3.3333333333333335,-2.5
E0,2024-09-15,14:00,Tottenham,Arsenal,0,1,A,0,0,D,J Gillett,15,7,5,4,13,10,7,6,5,3,0,0,8557765,6.666666666666667,10.0,5.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,9.166666666666668,11.666666666666668,8.333333333333334,1.6666666666666667,3.3333333333333335,1.6666666666666667,0.0,15.0
E0,2024-09-15,16:30,Wolves,Newcastle,1,2,A,1,0,H,C Kavanagh,12,14,5,6,17,6,4,7,3,3,0,0,9674200,1.6666666666666667,5.0,15.0,0.0,1.6666666666666667,3.3333333333333335,-3.3333333333333335,11.666666666666668,6.666666666666667,3.3333333333333335,3.3333333333333335,1.6666666666666667,0.0,13.333333333333334
E0,2024-09-21,12:30,West Ham,Chelsea,0,3,A,0,2,A,S Barrott,15,12,7,5,17,9,6,5,5,2,0,0,4321887,5.0,6.25,7.5,1.25,1.25,2.5,4.375,8.75,10.0,6.25,2.5,1.25,1.25,10.625
E0,2024-09-21,15:00,Aston Villa,Wolves,3,1,H,0,1,A,T Robinson,9,10,4,4,11,16,6,5,3,6,0,0,6745370,11.25,8.75,7.5,3.75,0.0,1.25,11.875,1.25,5.0,13.75,0.0,1.25,3.75,-3.125
E0,2024-09-21,15:00,Fulham,Newcastle,3,1,H,2,0,H,P Bankes,22,15,11,4,16,8,6,0,6,0,0,0,5068163,6.25,5.0,5.0,1.25,2.5,1.25,6.25,12.5,7.5,3.75,3.75,1.25,0.0,14.375
E0,2024-09-21,15:00,Liverpool,Bournemouth,3,0,H,3,0,H,T Harrington,19,19,13,6,10,12,3,9,1,4,0,0,9968747,11.25,8.75,1.25,3.75,0.0,1.25,15.0,6.25,6.25,6.25,1.25,2.5,1.25,6.25
E0,2024-09-21,15:00,Southampton,Ipswich,1,1,D,1,0,H,S Allison,11,13,3,6,16,16,2,10,4,4,0,0,3301809,0.0,1.25,10.0,0.0,0.0,5.0,-4.375,2.5,2.5,8.75,0.0,2.5,2.5,-0.625
E0,2024-09-21,15:00,Tottenham,Brentford,3,1,H,2,1,H,J Brooks,23,6,10,6,11,9,9,4,3,1,0,0,1114618,5.0,7.5,5.0,1.25,1.25,2.5,6.25,7.5,7.5,7.5,2.5,0.0,2.5,7.5
E0,2024-09-21,17:30,Crystal Palace,Man United,0,0,D,0,0,D,D Coote,9,15,4,6,7,12,4,11,3,1,0,0,3346161,2.5,5.0,8.75,0.0,2.5,2.5,0.625,7.5,6.25,6.25,2.5,0.0,2.5,7.5
E0,2024-09-21,15:00,Leicester,Everton,1,1,D,0,1,A,D England,12,16,2,5,11,12,6,1,1,2,0,0,2808970,2.5,6.25,8.75,0.0,2.5,2.5,1.25,0.0,5.0,16.25,0.0,0.0,5.0,-5.625
E0,2024-09-22,14:00,Brighton,Nott'm Forest,2,2,D,2,1,H,R Jones,14,4,3,3,12,11,9,1,3,4,0,1,1814429,10.0,7.5,2.5,2.5,2.5,0.0,12.5,10.0,5.0,2.5,2.5,2.5,0.0,11.25
E0,2024-09-22,16:30,Man City,Arsenal,2,2,D,1,2,A,M Oliver,33,5,11,3,7,10,8,2,3,4,0,1,6842969,15.0,13.75,3.75,5.0,0.0,0.0,20.0,12.5,7.5,1.25,3.75,1.25,0.0,15.625
E0,2024-09-28,15:00,Everton,Crystal Palace,2,1,H,0,1,A,A Madley,8,17,2,5,13,11,5,8,2,1,0,0,7080148,1.0,5.0,14.0,0.0,1.0,4.0,-3.5,3.0,4.0,7.0,0.0,3.0,2.0,1.5
E0,2024-09-28,15:00,Nott'm Forest,Fulham,0,1,A,0,0,D,J Smith,11,14,1,2,11,15,6,5,2,4,0,0,6699565,9.0,6.0,4.0,2.0,3.0,0.0,10.0,8.0,7.0,5.0,2.0,2.0,1.0,9.0
E0,2024-09-28,17:30,Wolves,Liverpool,1,2,A,0,1,A,A Taylor,8,10,3,6,16,8,2,10,2,3,0,0,4572234,1.0,5.0,14.0,0.0,1.0,4.0,-3.5,12.0,10.0,1.0,4.0,0.0,1.0,16.5
E0,2024-09-28,15:00,Chelsea,Brighton,4,2,H,4,2,H,P Bankes,15,15,7,5,11,8,8,2,3,2,0,0,2209554,10.0,11.0,5.0,3.0,1.0,1.0,13.0,9.0,8.0,4.0,2.0,3.0,0.0,11.0
E0,2024-09-28,15:00,Arsenal,Leicester,4,2,H,2,0,H,S Barrott,36,5,16,3,11,6,17,0,2,4,0,0,5125792,11.0,8.0,3.0,3.0,2.0,0.0,13.5,3.0,6.0,8.0,0.0,3.0,2.0,2.0
E0,2024-09-28,12:30,Newcastle,Man City,1,1,D,0,1,A,J Gillett,11,16,4,6,14,10,5,6,4,4,0,0,8751144,10.0,7.0,6.0,3.0,1.0,1.0,10.5,13.0,13.0,5.0,4.0,1.0,0.0,17.0
E0,2024-09-28,15:00,Brentford,West Ham,1,1,D,1,0,H,S Hooper,8,19,3,3,2,11,7,7,2,3,0,0,8535702,6.0,7.0,9.0,2.0,0.0,3.0,5.0,4.0,5.0,9.0,1.0,1.0,3.0,2.0
E0,2024-09-29,14:00,Ipswich,Aston Villa,2,2,D,1,2,A,S Attwell,15,7,5,3,10,14,10,0,4,1,0,0,3166367,3.0,3.0,8.0,0.0,3.0,2.0,0.5,12.0,10.0,7.0,4.0,0.0,1.0,13.5
E0,2024-09-29,16:30,Man United,Tottenham,0,3,A,0,1,A,C Kavanagh,11,24,2,10,16,14,5,3,5,3,1,0,4960628,7.0,5.0,5.0,2.0,1.0,2.0,7.0,7.0,9.0,5.0,2.0,1.0,2.0,9.0
E0,2024-09-30,20:00,Bournemouth,Southampton,3,1,H,3,0,H,M Oliver,14,9,6,3,19,12,7,4,2,5,0,0,8924473,5.0,5.0,8.0,1.0,2.0,2.0,3.5,1.0,2.0,9.0,0.0,1.0,4.0,-2.5
E0,2024-10-05,17:30,Everton,Newcastle,0,0,D,0,0,D,C Pawson,8,14,2,3,12,8,0,10,1,2,0,0,9510900,4.0,7.0,12.0,1.0,1.0,3.0,1.5,8.0,7.0,7.0,2.0,2.0,1.0,8.0
E0,2024-10-05,15:00,West Ham,Ipswich,4,1,H,2,1,H,A Taylor,23,9,13,2,12,6,5,5,0,1,0,0,6267492,5.0,5.0,8.0,1.0,2.0,2.0,3.5,4.0,5.0,8.0,0.0,4.0,1.0,2.5
E0,2024-10-05,15:00,Man City,Fulham,3,2,H,1,1,D,P Bankes,20,11,7,4,4,10,8,3,2,1,0,0,9575279,11.0,12.0,6.0,3.0,2.0,0.0,14.0,11.0,8.0,4.0,3.0,2.0,0.0,13.0
E0,2024-10-05,15:00,Leicester,Bournemouth,1,0,H,1,0,H,D Bond,6,17,2,2,12,14,0,9,4,1,0,0,1854648,2.0,7.0,11.0,0.0,2.0,3.0,0.0,7.0,7.0,8.0,2.0,1.0,2.0,6.5
E0,2024-10-05,15:00,Arsenal,Southampton,3,1,H,0,0,D,T Harrington,29,8,6,2,10,9,13,1,0,3,0,0,5410388,11.0,10.0,5.0,3.0,2.0,0.0,13.5,1.0,3.0,11.0,0.0,1.0,4.0,-3.0
E0,2024-10-05,12:30,Crystal Palace,Liverpool,0,1,A,0,1,A,S Hooper,9,16,5,4,7,15,3,8,4,2,0,0,4869077,3.0,4.0,7.0,0.0,3.0,2.0,1.5,12.0,10.0,2.0,4.0,0.0,1.0,16.0
E0,2024-10-05,15:00,Brentford,Wolves,5,3,H,4,2,H,A Madley,19,17,12,6,9,10,10,3,2,3,0,0,9013517,4.0,6.0,9.0,1.0,1.0,3.0,2.5,1.0,6.0,14.0,0.0,1.0,4.0,-3.0
E0,2024-10-06,14:00,Aston Villa,Man United,0,0,D,0,0,D,R Jones,11,10,1,4,12,11,6,3,1,5,0,0,3735164,10.0,10.0,8.0,3.0,1.0,1.0,11.0,4.0,4.0,8.0,1.0,1.0,3.0,2.0
E0,2024-10-06,14:00,Chelsea,Nott'm Forest,1,1,D,0,0,D,C Kavanagh,22,16,8,9,12,11,11,3,6,2,0,1,5607276,13.0,15.0,5.0,4.0,1.0,0.0,18.0,8.0,5.0,4.0,2.0,2.0,1.0,8.5
E0,2024-10-06,16:30,Brighton,Tottenham,3,2,H,0,2,A,D Coote,11,13,4,3,14,10,4,7,2,2,0,0,3470850,6.0,7.0,8.0,1.0,3.0,1.0,5.5,9.0,11.0,4.0,3.0,0.0,2.0,12.5
E0,2024-10-19,15:00,Southampton,Leicester,2,3,A,2,0,H,A Taylor,14,18,7,4,10,10,10,6,5,3,1,0,9736753,1.0,4.0,13.0,0.0,1.0,4.0,-3.5,5.0,7.0,9.0,1.0,2.0,2.0,4.0
E0,2024-10-19,17:30,Bournemouth,Arsenal,2,0,H,0,0,D,R Jones,13,6,4,1,12,11,7,4,1,1,0,1,4673287,6.0,6.0,8.0,2.0,0.0,3.0,5.0,11.0,11.0,6.0,3.0,2.0,0.0,13.5
E0,2024-10-19,15:00,Newcastle,Brighton,0,1,A,0,1,A,P Bankes,21,10,6,5,11,9,9,4,2,2,0,0,1510141,8.0,6.0,6.0,2.0,2.0,1.0,8.0,6.0,8.0,9.0,1.0,3.0,1.0,5.5
E0,2024-10-19,15:00,Ipswich,Everton,0,2,A,0,2,A,M Oliver,13,11,2,8,12,10,5,8,1,1,0,0,4475001,4.0,5.0,8.0,0.0,4.0,1.0,2.5,5.0,7.0,8.0,1.0,2.0,2.0,4.5
E0,2024-10-19,15:00,Man United,Brentford,2,1,H,0,1,A,S Barrott,23,8,11,2,14,5,9,2,2,2,0,0,6806280,5.0,3.0,6.0,1.0,2.0,2.0,3.5,7.0,11.0,10.0,2.0,1.0,2.0,7.5
E0,2024-10-19,15:00,Fulham,Aston Villa,1,3,A,1,1,D,D England,10,14,4,5,8,11,6,11,3,3,1,1,9741681,8.0,8.0,6.0,2.0,2.0,1.0,9.0,11.0,10.0,6.0,3.0,2.0,0.0,13.0
E0,2024-10-19,12:30,Tottenham,West Ham,4,1,H,1,1,D,A Madley,22,11,7,4,10,15,13,5,1,3,0,1,6419657,6.0,9.0,7.0,2.0,0.0,3.0,7.0,5.0,7.0,9.0,1.0,2.0,2.0,4.0
E0,2024-10-20,14:00,Wolves,Man City,1,2,A,1,1,D,C Kavanagh,3,22,2,7,8,5,1,18,4,1,0,0,3055947,1.0,7.0,13.0,0.0,1.0,4.0,-2.0,11.0,11.0,7.0,3.0,2.0,0.0,13.0
E0,2024-10-20,16:30,Liverpool,Chelsea,2,1,H,1,0,H,J Brooks,9,12,5,2,12,13,1,6,4,3,0,0,2520061,12.0,9.0,2.0,4.0,0.0,1.0,15.5,11.0,10.0,4.0,3.0,2.0,0.0,14.0
E0,2024-10-21,20:00,Nott'm Forest,Crystal Palace,1,0,H,0,0,D,T Robinson,20,20,6,7,9,12,6,6,2,3,0,0,3937008,6.0,5.0,5.0,1.0,3.0,1.0,6.0,3.0,4.0,6.0,0.0,3.0,2.0,2.0
E0,2024-10-25,20:00,Leicester,Nott'm Forest,1,3,A,1,1,D,C Pawson,11,20,1,5,16,9,6,7,5,2,0,0,3808418,8.0,9.0,9.0,2.0,2.0,1.0,8.0,8.0,5.0,4.0,2.0,2.0,1.0,8.5
E0,2024-10-26,17:30,Everton,Fulham,1,1,D,0,0,D,J Brooks,10,14,5,3,8,8,4,2,1,0,0,0,6464799,8.0,7.0,5.0,2.0,2.0,1.0,9.0,7.0,8.0,8.0,2.0,1.0,2.0,7.0
E0,2024-10-26,15:00,Man City,Southampton,1,0,H,1,0,H,T Harrington,22,5,8,2,9,9,12,1,1,3,0,0,7315165,11.0,10.0,7.0,3.0,2.0,0.0,12.5,1.0,5.0,13.0,0.0,1.0,4.0,-3.0
E0,2024-10-26,15:00,Brighton,Wolves,2,2,D,1,0,H,M Oliver,19,14,6,7,12,10,9,6,3,3,0,0,7799734,8.0,8.0,8.0,2.0,2.0,1.0,8.0,0.0,7.0,14.0,0.0,0.0,5.0,-3.5
E0,2024-10-26,15:00,Brentford,Ipswich,4,3,H,2,2,D,L Smith,20,11,9,5,7,10,5,5,0,1,0,1,2021443,4.0,9.0,11.0,1.0,1.0,3.0,3.0,3.0,4.0,9.0,0.0,3.0,2.0,0.5
E0,2024-10-26,15:00,Aston Villa,Bournemouth,1,1,D,0,0,D,A Madley,18,11,8,3,12,14,9,7,7,6,0,0,3599791,11.0,11.0,6.0,3.0,2.0,0.0,13.5,6.0,5.0,6.0,2.0,0.0,3.0,5.5
E0,2024-10-27,14:00,Chelsea,Newcastle,2,1,H,1,1,D,S Hooper,17,11,7,3,13,16,7,4,6,3,0,0,6109782,10.0,10.0,5.0,3.0,1.0,1.0,12.5,5.0,4.0,6.0,1.0,2.0,2.0,4.0
E0,2024-10-27,14:00,Crystal Palace,Tottenham,1,0,H,1,0,H,D Bond,14,11,6,3,16,12,8,8,4,4,0,0,1663445,2.0,3.0,6.0,0.0,2.0,3.0,0.5,9.0,12.0,6.0,3.0,0.0,2.0,12.0
